title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
What is gnosticism?,KL King,2003,1162,"… The term ""knowledge"" is translated from the Greek word gnosis, but in Gnosticism it has come to stand for false knowledge, in short, for heresy. Modern scholars understood Gnosticism …",t2ybokqxpBMJ,KL King - 2003 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=df1Tz5Cn8BQC&oi=fnd&pg=PR7&dq=Gnosticism+scholarly&ots=tRJc_1lFot&sig=Js2HXvxcF88k1Mqfje25PSCX5wY,unknown,unknown
"Gnosticism, gnostics, and gnosis",DM Burns,2018,19,"… survey of Gnosis and Gnosticism, but of what scholars have taken Gnosis and Gnosticism to … the beginning of this chapter, scholars have often followed Baur in referring to “Gnosis” and “…",zMKVwezsiCUJ,"DM Burns - The Gnostic World, 2018 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315561608-2&type=chapterpdf,unknown,unknown
Rethinking the study of Gnosticism,M Desjardins,2005,12,"… The scholarly debate over gnostic origins at times reinforces these proand anti-gnostic positions, as well as their ideological positioning. Christian scholars who see Gnosticism as …",1bRD6rWYym4J,"M Desjardins - Religion and Theology, 2005 - brill.com",[],https://brill.com/view/journals/rt/12/3-4/article-p370_6.xml,unknown,unknown
Gnosticism,AHB Logan,2002,14,"… Thus he would argue we should not think of a single phenomenon, Gnosticism or the gnostic religion, and try to define a single essence or seek a single origin for it; the chief error has …",BGhbhjZwzY0J,"AHB Logan - The Early Christian World, 2002 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203470626-50&type=chapterpdf,unknown,unknown
