title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The Windsor Consorts: Matriarchy and Modernisation,S Betts,2023,1,… depoliticised monarchical … monarchical power in Britain since the late seventeenth century inevitably changed both representational ideals and the practical influence of the ruling family…,t6wc5K_CDxgJ,"S Betts - Hanoverian to Windsor Consorts: Power, Influence …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-12829-5_14,unknown,unknown
The Reign of King George V: The Genesis of the House of Windsor & the Survival of a Modern Monarchy,S Visser,2023,0,"… the Royal House of Windsor. For this study, however, this comparison will be limited to just two of the major monarchies: … The British royal family has long held close familial ties with the …",xC2BwOKYgcYJ,"S Visser - … South Bend Undergraduate Research Journal of …, 2023 - scholarworks.iu.edu",[],https://scholarworks.iu.edu/journals/index.php/iusburjh/article/view/36147/39116,unknown,unknown
The British Royals in Popular Culture: From the Tudors to the Windsors,"J Coghlan, LJ Hackett, H Nolan",2025,1,"… the enduring allure of the British royal family, situated at the … royal families have waned in influence, the British monarchy … of Tudor to the House of Windsor. In doing so it becomes …",pFUxqJJfnr0J,"J Coghlan, LJ Hackett, H Nolan - 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=TwhYEQAAQBAJ&oi=fnd&pg=PT11&dq=British+royal+family+Windsor+monarchy&ots=4QxEW8VS_E&sig=ysGl3xzsOnz4_MM5IQCewGPBj7M,unknown,unknown
Totem and Taboo: Religious Features of the British Public Support for Monarchy,B Palade,2024,0,"… in his book about the British monarchy, the cult of the Windsor family, with its periodic rituals … of the British royal family by considering the religious nature of the belief in monarchy and …",rjhte4ZtKAgJ,"B Palade - Perspective Politice, 2024 - ceeol.com",[],https://www.ceeol.com/search/article-detail?id=1356011,unknown,unknown
The Windsor Consorts: Longevity and the Modern Monarchy,C Harris,2023,1,"… royal family reflects the composition of families from a variety … constitutional monarchy, the transition from the British Empire … Second World Wars on British and Commonwealth society—…",CHHDURStALMJ,"C Harris - Hanoverian to Windsor Consorts: Power, Influence …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-12829-5_9,unknown,unknown
The research of the peculiarities of the traditions in the Royal family of the Windsor dynasty,АА Шумилин,2020,1,… royal family of the Windsor dynasty. The authors draw our attention to the fact that the Windsors are the ruling royal dynasty in the United Kingdom of Great Britain … the German house of …,yebfI_zG2Z0J,"АА Шумилин - Молодежь. Общество. Современная наука, техника …, 2020 - elibrary.ru",[],https://elibrary.ru/item.asp?id=44709874,unknown,unknown
