title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A history of the federal reserve: 1913–1951,AH Meltzer,2010,1538,… This volume starts with the founding of the Federal Reserve in December 1913 and ends with the Treasury–Federal Reserve Accord in March 1951. In many respects the accord marks …,NrIs64llWf8J,AH Meltzer - 2010 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=190xVQDRtHAC&oi=fnd&pg=PR7&dq=Federal+Reserve+history+1913&ots=l0bI_qEtfn&sig=CiUzPIliX9n74XFlFivNs5ErnQI,unknown,unknown
"Banking reform and the Federal Reserve, 1863-1923",RC West,2019,169,"… period, and of what had preceded the Federal Reserve Act of 1913. The act was the result of … history and the reform attempts which culminated in the passage of the Federal Reserve Act…",CwlGsUUgL1gJ,RC West - 2019 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=Z_-tDwAAQBAJ&oi=fnd&pg=PA9&dq=Federal+Reserve+history+1913&ots=fc94pVRpT-&sig=vuY8OkGWd99-nGnyZ_UgjUJHrLk,unknown,unknown
"A HISTORY OF THE FEDERAL RESERVE, VOLUME I: 1913-51. BY ALLAN H. MELTZER. CHICAGO: UNIVERSITY OF CHICAGO PRESS, 2003",G Kaza,2005,1,"If Allan Meltzer were a screenwriter one might wonder if his portrait of the Federal Reserve … Meltzer’s 800-page history, which was written with the Fed’s cooperation. First, the Fed is …",Al7Oeh7cPEsJ,"G Kaza - Quarterly Journal of Austrian Economics, 2005 - mises-media.s3.amazonaws.com",[],http://mises-media.s3.amazonaws.com/qjae8_1_7.pdf,unknown,unknown
"A History of the Federal Reserve: Volume 1, 1913–1951. By Allan H. Meltzer. Chicago: University of Chicago Press, 2003. Pp. xiii, 600",KJ Mitchener,2003,0,… relevant to aspects of economic history insofar as they relate … in economic and social history. Christopher Woolgar … issues in late-medieval social history. He examines the rhetoric of …,nLL1e3m_0IAJ,"KJ Mitchener - The Journal of Economic History, 2003 - cambridge.org",[],https://www.cambridge.org/core/journals/journal-of-economic-history/article/history-of-the-federal-reserve-volume-1-19131951-by-allan-h-meltzer-chicago-university-of-chicago-press-2003-pp-xiii-600/E691153A96098BFB5E09A6F811D96BDF,unknown,unknown
"A History of the Federal Reserve: Book 1, 1951–1969",AH Meltzer,2010,19,"… The Federal Reserve that we find in these volumes is very different from the institution founded in 1913. Carter Glass, one of its founders, always insisted it was not a central bank. Its …",H-gvP0JZJwYJ,AH Meltzer - 2010 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=8peFljjm5CQC&oi=fnd&pg=PR7&dq=Federal+Reserve+history+1913&ots=xpWvjwINR7&sig=HHRA7iNBWMP4QT0kN62VzP-d4CQ,unknown,unknown
"Banks and politics during the progressive era: the origins of the Federal Reserve System, 1897-1913",RT McCulley,2012,51,"… and enacted the Federal Reserve Act of 1913, the most … financial legacy because the Federal Reserve System could be bent … Rostow stimulated my interest in economic history and was …",DINmzgPHBpYJ,RT McCulley - 2012 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=03QwNCBZCtEC&oi=fnd&pg=PR1&dq=Federal+Reserve+history+1913&ots=MxOUd4zy2X&sig=kXLKZh4T4aedW4jSbkgvlHg_Vxc,unknown,unknown
