title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A peculiar idea of empire: Missions and missionaries of the Society of Jesus in early modern history,G Imbruglia,2014,16,"… the Jesuits were certainly the most original. Today we know quite a lot about the experiences of Jesuits … Yet the Jesuits themselves offered the necessary clues, already at the end of the …",mv2kooL3SOQJ,"G Imbruglia - Jesuit Accounts of the Colonial Americas …, 2014 - utppublishing.com",[],https://utppublishing.com/doi/pdf/10.3138/9781487549770#page=32,unknown,unknown
The society of Jesus,J O'Malley,2006,40,… All through their history the Jesuits founded or inspired others to found works of social assistance along the same patterns as the orphanages and women’s asylums. The administration …,asJACNY9E3EJ,"J O'Malley - A companion to the Reformation World, 2006 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470996737#page=237,unknown,unknown
The distinctiveness of the Society of Jesus,JW O'Malley,2016,38,The Society of Jesus has a number of features making it distinctive among the religious … international character to the Jesuit missions. Once the Society undertook the staffing and …,sLbqze9uQWAJ,"JW O'Malley - Journal of Jesuit Studies, 2016 - brill.com",[],https://brill.com/view/journals/jjs/3/1/article-p1_1.xml,unknown,unknown
"Jesuit political thought: The Society of Jesus and the state, c. 1540–1630",H Höpfl,2004,510,… in the political and intellectual history of the Society of Jesus. What follows is not the definitive textbook of Jesuit political theory that Jesuits themselves unaccountably failed to write. Nor …,8QquUQqwhRcJ,H Höpfl - 2004 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=HvRzWf1cWDMC&oi=fnd&pg=PP1&dq=Jesuits+Society+Jesus+history&ots=NoMZ857EPn&sig=iByaJSgbeJphD4e9BniLY7FzUUw,unknown,unknown
"The Jesuits, 1534-1921: a history of the Society of Jesus from its foundation to the present time",TJ Campbell,2022,7,"… provides an insightful examination of the Jesuits' role in cultural exchange, … historical and theological discussions, revealing the complexities of Jesuit engagements in diverse societies…",4nQzQZ4kef0J,TJ Campbell - 2022 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=P_9yEAAAQBAJ&oi=fnd&pg=PT18&dq=Jesuits+Society+Jesus+history&ots=iFUUSWRxGF&sig=MsXWq1NZDbIYwxWcPEKxkcBl66M,unknown,unknown
The Jesuits: A history from Ignatius to the present,JW O'Malley,2014,159,"… European church history, he has written several books with his The First Jesuits winning the Philip Schaff Prize for church history. Written for a popular audience, The Jesuits dispels the …",7todu3501wkJ,JW O'Malley - 2014 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=JvaAEQAAQBAJ&oi=fnd&pg=PP1&dq=Jesuits+Society+Jesus+history&ots=hZD7ZAaoCh&sig=gdtUIQ4WcwCRhsHRICDbfSye58k,unknown,unknown
The Jesuits: a history,M Friedrich,2022,61,… Jesuit history can we make out a … historical development of Eu rope and the world. My goal is to assess and also account for the Society’s historical role; to trace how the Society of Jesus …,nQjeT6_eM_0J,M Friedrich - 2022 - torrossa.com,[],https://www.torrossa.com/gs/resourceProxy?an=5564414&publisher=FZO137,unknown,unknown
"The Jesuits, 1534-1921: a history of the Society of Jesus from its foundation to the present time",TJ Campbell,2014,108,"… fact, no Jesuit has thus far ever written a complete or adequate history of the Society; Orlandini, … Two very small compendiums by Jesuits have been recently published, one in Italian by …",nAZ9xWuXk4wJ,TJ Campbell - 2014 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=3XDQAgAAQBAJ&oi=fnd&pg=PA1&dq=Jesuits+Society+Jesus+history&ots=bQu7qG-HHf&sig=Y4r3oB0sdXykpKXbKZ3PeMlCMrU,unknown,unknown
The American Jesuits: A History,RA Schroth,2009,77,"… A full Jesuit history should have more on the high schools, on sports, on the brothers, on lay … as the source of Jesuit and lay spiritual energy; the narrative of the ""three societies""—pre-…",Pmu6ZEb4kKcJ,RA Schroth - 2009 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=hpYUCgAAQBAJ&oi=fnd&pg=PR1&dq=Jesuits+Society+Jesus+history&ots=izSzdMBbNS&sig=k_MremeEumL7p-rIWfkq0ZNYiHY,unknown,unknown
