title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The Billion Dollar Deal that Made Google and Amazon Partners in the Israeli Occupation of Palestine.,R Baroud,2022,0,"… government which provides cloud services for the Israeli military and government that ""allows for … a few weeks before Project Nimbus was declared. It was as if Google and Amazon were …",6mhaM-c74YQJ,"R Baroud - CounterPunch, 2022 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10862323&asa=N&AN=163104931&h=91R3eFWKGwEB2ECiOHRAIiUG5OxPHvRd408KDQnoHDjfy3qjc%2FN8DCA%2BiufeYZ%2FAFdGcHSt%2Fbfo4SCPBYR%2FNMQ%3D%3D&crl=c,unknown,unknown
Making a killing: Israel's military-innovation ecosystem and the globalization of violence,S Abdelnour,2023,31,"… Google and Amazon’s engagement in Project Nimbus should give us all pause for thought. Google and Amazon … Google alone has an estimated 4.3 billion regular users globally, while …",rIhhUo2hqccJ,"S Abdelnour - Organization Studies, 2023 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/01708406221131938,unknown,unknown
Seeing the world like a Palestinian,PG Apoorva,2023,2,… campaigns against HP Enterprises and Project Nimbus- the Google and Amazon contract to provide cloud services to the Israeli government and military. She has studied Sociology …,sRJxWHI6LpUJ,"PG Apoorva - … against Big Tech and Israeli apartheid. State of power …, 2023 - tni.org",[],https://www.tni.org/files/2023-04/Seeing%20the%20world%20like%20a%20Palestinian.pdf,unknown,unknown
Autonomous occupation: Israel's AI-driven drone warfare and the digital architecture of authoritarian power,R Reichert,2025,5,"… projects like Project Nimbus, the article reveals how corporate platforms (eg Google and Amazon) … The case of Israeli military technology illustrates how digital systems not only enable …",LC-_GD7SBiEJ,"R Reichert - Dialogues on Digital Society, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/29768640251381423,unknown,unknown
Amazon's investments in Israel reveal complicity in settlements and military operations,"C Chua, J Alimahomed-Wilson, SL Potiker",2021,4,"… ” led hundreds of Amazon employees to sign a letter calling for Amazon leadership to acknowledge … against Amazon, momentum against Project Nimbus may be stymied by the Israeli …",hbhUpGR2VwkJ,"C Chua, J Alimahomed-Wilson, SL Potiker - The Nation, 2021 - academia.edu",[],https://www.academia.edu/download/67922737/Amazon_s_Investments_in_Israel_Reveal_Complicity_in_Settlements_and_Military_Operations_The_Nation.pdf,unknown,unknown
Migrating the state into corporate clouds,"DM Kotliar, A Gekker",2024,5,… by focusing on ‘Project Nimbus’ – a $1.2 billion tender offered by the Israeli government to move ‘the entire Israeli state’ … While Amazon and Google clearly stand to gain from adding the …,a0zLNPv-K8AJ,"DM Kotliar, A Gekker - Information, Communication & Society, 2024 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/1369118X.2024.2343816,unknown,unknown
"The genocide will be automated—Israel, AI and the future of war",L Katibah,2024,13,"… The Israeli military’s “directorate of targets” relies on soldiers … contract with the Israeli government, Google and Amazon … and object tracking as part of Project Nimbus. It has also been …",sP9c17TMGcEJ,"L Katibah - Middle East Report, 2024 - JSTOR",[],https://www.jstor.org/stable/48853052,unknown,unknown
Big Tech and the US digital-military-industrial complex,"A Coveri, C Cozza, D Guarascio",2025,9,"… AI services to the Israeli army in its war in Gaza. More specifically, since 2021, the US $1.2 billion Nimbus project ties Alphabet and Amazon to the Israeli government for the provision of …",uPMIC3MbDw0J,"A Coveri, C Cozza, D Guarascio - Intereconomics, 2025 - sciendo.com",[],https://sciendo.com/2/v2/download/issue/IE/60/2.zip,unknown,unknown
Towards a Public Database for Investigating Western Special Operations,J Poulson,2024,0,"… and with the Project Nimbus award from the Israeli government. [… , and Nimbus — which was split between Amazon and Google … of software stacks helping the Israeli military train its own …",slk5aegTKRYJ,J Poulson - 2024 - disruption.institute,[],https://disruption.institute/s/Jack-Poulson-Towards-a-Public-Database.pdf,unknown,unknown
