title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Roman"" dominium"" and the Common-Law Concept of Ownership",F Giglio,2022,0,"… law and Roman law, itisargued in this paper that,despite the common-law focus on title,the common-law and civil-law … to distinguish them from other property rights and from the limitless …",o4HBAzC37cMJ,"F Giglio - … Journal of Comparative and International Private Law, 2022 - JSTOR",[],https://www.jstor.org/stable/45419019,unknown,unknown
The Evolution of the Property Concept in Roman Law,I Ciutacu,2023,3,"… in the category of real rights and designated it with the expression dominium ex iure quiritium. Initially, it had only corporeal things as its object, proof that the owner said “haec res mea …",xb_fACSK-A8J,"I Ciutacu - Proceedings of the 31st International RAIS Conference …, 2023 - ceeol.com",[],https://www.ceeol.com/search/chapter-detail?id=1213814,unknown,unknown
The Concept of Property in Roman Civil Law and Its Evolution,S Bieliavska,2025,0,"… Of particular significance is the conceptual distinction in Roman law between ownership (dominium) and possession (possessio). For the Romans, ownership represented an abstract, …",FfRA2Uf9zUkJ,"S Bieliavska - Legal Horizons, 2025 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/lglhizns2025&section=30,unknown,unknown
The law of property in ancient Roman law,R Domingo,2017,13,"… No Roman text offers a definition of ownership (dominium). The word dominium emerged at the very end of the Roman Republic. It was still unknown at the time of Cicero, though the …",XLWV13b-bHoJ,"R Domingo - The Law of Property in Ancient Roman Law (June 12 …, 2017 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2984869,unknown,unknown
Property in land in Roman provinces,G Kantor,2017,13,"… of Roman dominium; he suggested that legal rights in provincial land should be recognized as'a right of property, to which only the name of property … tial handbook of Roman private law, …",aGZ2Eal5DEIJ,"G Kantor - Legalism: Property and Ownership, Oxford, 2017 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=8hBADwAAQBAJ&oi=fnd&pg=PA55&dq=Dominium+property+Roman+law&ots=jkmdd0DYP_&sig=sF1qjgORAIqsB4QpP4ezo0tNzNE,unknown,unknown
