title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Solving Semiconductor Probe Card Problems Utilizing TRIZ and Data Analysis,"MUN Yong, WON Yong",2020,2,"… company, but also to the other probe card manufacturers in the industry. Keywords: Semiconductor, TRIZ, 6 Sigma, Probe card. … In summary, it is the same as the definition of technical …",zSzG_mtPa-IJ,"MUN Yong, WON Yong - ACTA TECHNICA NAPOCENSIS …, 2020 - atna-mam.utcluj.ro",[],https://atna-mam.utcluj.ro/index.php/Acta/article/view/1396,unknown,unknown
Problem-solving of semiconductor probe card using TRIZ and quality control (QC) story,"YM Jeon, YW Song, KM Hong",2021,3,"… of probe temperature on the probe card. Since the problem that occurs in the semiconductor probe card … To cope with this technological requirement, the overall size of the probe card as …",iOSuYuEtRlMJ,"YM Jeon, YW Song, KM Hong - Asia-pacific Journal of Convergent …, 2021 - kctrs.or.kr",[],http://kctrs.or.kr/journal/APJCRI/Articles/v7n2/9.pdf,unknown,unknown
