id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2211.03586v2,"ATLAS: Deployment, Control Platform and First RSO Measurements","['João Pandeirada', 'Miguel Bergano', 'Paulo Marques', 'Domingos Barbosa', 'Bruno Coelho', 'José Freitas', 'Domingos Nunes']","The ever increasing dependence of modern societies in space based services results in a rising number of objects in orbit which grows the probability of collisions between them. The increase in space debris is a threat to space assets, space based-operations and led to a common effort to develop programs for dealing with it. As part of the Portuguese Space Surveillance and Tracking (SST) project, led by the Portuguese Ministry of Defense (MoD), Instituto de Telecomunicações (IT) is developing the rAdio TeLescope pAmpilhosa Serra (ATLAS), a new monostatic radar tracking sensor located at the Pampilhosa da Serra Space Observatory (PASO), Portugal. The system operates at 5.56 GHz and aims to provide information on objects in low earth orbit (LEO), with cross sections above 10 cm$^2$ at 1000~km. The sensor is tasked by the Portuguese Network Operations Center (NOC), located in the Azores island, which interfaces with the EU-SST network.","['physics.space-ph', 'astro-ph.IM', 'eess.SP', 'eess.SY', 'physics.soc-ph']",2022-11-07T14:26:50+00:00,https://arxiv.org/pdf/2211.03586v2,arxiv://2211.03586v2,1,2
2211.00919v1,Hydra -- A Federated Data Repository over NDN,"['Justin Presley', 'Xi Wang', 'Tym Brandel', 'Xusheng Ai', 'Proyash Podder', 'Tianyuan Yu', 'Varun Patil', 'Lixia Zhang', 'Alex Afanasyev', 'F. Alex Feltus', 'Susmit Shannigrahi']","Today's big data science communities manage their data publication and replication at the application layer. These communities utilize myriad mechanisms to publish, discover, and retrieve datasets - the result is an ecosystem of either centralized, or otherwise a collection of ad-hoc data repositories. Publishing datasets to centralized repositories can be process-intensive, and those repositories do not accept all datasets. The ad-hoc repositories are difficult to find and utilize due to differences in data names, metadata standards, and access methods. To address the problem of scientific data publication and storage, we have designed Hydra, a secure, distributed, and decentralized data repository made of a loose federation of storage servers (nodes) provided by user communities. Hydra runs over Named Data Networking (NDN) and utilizes the State Vector Sync (SVS) protocol that lets individual nodes maintain a ""global view"" of the system. Hydra provides a scalable and resilient data retrieval service, with data distribution scalability achieved via NDN's built-in data anycast and in-network caching and resiliency against individual server failures through automated failure detection and maintaining a specific degree of replication. Hydra utilizes ""Favor"", a locally calculated numerical value to decide which nodes will replicate a file. Finally, Hydra utilizes data-centric security for data publication and node authentication. Hydra uses a Network Operation Center (NOC) to bootstrap trust in Hydra nodes and data publishers. The NOC distributes user and node certificates and performs the proof-of-possession challenges.
  This technical report serves as the reference for Hydra. It outlines the design decisions, the rationale behind them, the functional modules, and the protocol specifications.",['cs.NI'],2022-11-02T07:04:08+00:00,https://arxiv.org/pdf/2211.00919v1,arxiv://2211.00919v1,2,2
