title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The theologies of kabbalah research,B Huss,2014,21,"… assumptions underlying the research of Jewish mysticism and I will … Finally, I will claim that nontheological research of the Kabbalah … as the constitutive category of this field of research. …",bIaUhQQwP_4J,"B Huss - Modern Judaism, 2014 - academic.oup.com",[],https://academic.oup.com/mj/article-abstract/34/1/3/995801,unknown,unknown
"The new age of Kabbalah: Contemporary Kabbalah, the new age and postmodern spirituality",B Huss,2007,117,"… Scholem began his historical research into Kabbalah, it was … academic study of Kabbalah established by Scholem was highly esteemed, it was limited to philological‐historical research …",tZPU_69Bi18J,"B Huss - Journal of modern jewish studies, 2007 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/14725880701423014,unknown,unknown
The Modernization of Kabbalah: A Case Study,J Garb,2010,19,"… to Kabbalah research on the part of Magid). I assume the influence of surrounding cultural, social and economic trends only where the text itself makes an explicit or virtually explicit …",3hk_OLJ0V0YJ,"J Garb - Modern Judaism, 2010 - academic.oup.com",[],https://academic.oup.com/mj/article-abstract/30/1/1/1080637,unknown,unknown
"Mystifying Kabbalah: academic scholarship, national theology, and new age spirituality",B Huss,2020,42,"… claim, dictates and shapes the research practices of the academic field devoted to Jewish … book, the formation of the academic field, the theories and research methods used in it, and …",krsVIbaVsG4J,B Huss - 2020 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=g5n9DwAAQBAJ&oi=fnd&pg=PP1&dq=Kabbalah+academic+research&ots=jf76XcnRKW&sig=OTN0dUkAWP5S_I0P7wXVj_30cgA,unknown,unknown
The Science of Kabbalah: An Overview,"A Sofer, RS Laitman",2006,2,"… brains, then it is our desires that we should research in order to find out what is going on here. … The wisdom of Kabbalah is engaged in precisely that: altering our desires so as to change …",pkR9iQvKy2sJ,"A Sofer, RS Laitman - World Futures, 2006 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/02604020600637254,unknown,unknown
'Authorized Guardians': The Polemics of Academic Scholars of Jewish Mysticism against Kabbalah Practitioners,B Huss,2007,17,"… Scholem decided to study kabbalah and that the modern, academic field of Jewish … his life to the academic research of kabbalah: I wanted to enter into the world of kabbalah out of my …",dHGaaTGf75EJ,"B Huss - Polemical Encounters: Esoteric Discourse and Its …, 2007 - brill.com",[],https://brill.com/downloadpdf/display/title/14330.pdf#page=100,unknown,unknown
Academic Study of Kabbalah and Occultist,B Huss,2021,6,"… Furthermore, I will argue that Kabbalah academic scholarship and western esoteric and … leading academic expert on Kabbalah and instituted the research of Jewish Mysticism as an …",aW2HKzFLuacJ,"B Huss - Occult Roots of Religious Studies: On the Influence of …, 2021 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=w9IuEAAAQBAJ&oi=fnd&pg=PA104&dq=Kabbalah+academic+research&ots=texGjOal7o&sig=TAhKKp1XmFFX6t_ks9oWewak250,unknown,unknown
Kabbalah and the politics of inauthenticity: The controversies over the kabbalah center,B Huss,2015,12,"… Research in Kabbalah in 1965 in New York (the organization was later renamed the Research Center of Kabbalah and, finally, the Kabbalah … of academic researchers into Kabbalah to …",kMHNPCutxQgJ,"B Huss - Numen, 2015 - brill.com",[],https://brill.com/view/journals/nu/62/2-3/article-p197_4.xml,unknown,unknown
Kabbalah research in the Wissenschaft des Judentums (1820–1880): the foundation of an academic discipline,GY Kohler,2019,30,In recent years more and more scholars have become aware of the fact that the 19th century movement of the Wissenschaft des Judentums engaged in essential research of kabbalistic …,OQ2W2LPIN5cJ,GY Kohler - 2019 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=d3ecDwAAQBAJ&oi=fnd&pg=PP5&dq=Kabbalah+academic+research&ots=WtVMarfSBU&sig=e8sDwBgTa_ttOLJ7Aa5SSPbUyJY,unknown,unknown
