title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Jus cogens: international law and social contract,T Weatherall,2015,160,"… JUS COGENS One of the most complex doctrines in contemporary international law, jus cogens is the immediate product of the socialization of the international community following the …",idvTebz1brYJ,T Weatherall - 2015 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=KKYHCgAAQBAJ&oi=fnd&pg=PR9&dq=Jus+Cogens+international+law&ots=LSdT90Rk7t&sig=ubhrBbDk60iU7LsaVzcYUvfmigM,unknown,unknown
Jus cogens in contemporary international law,C Mik,2013,44,"… international public order clause),6 one may consider that jus cogens was introduced into international law … 53 and 64 of the Vienna Convention on the Law of treaties of 23 May 1969 (…",qyZSzTtUqj8J,"C Mik - Polish Yearbook of International Law, 2013 - ceeol.com",[],https://www.ceeol.com/search/article-detail?id=202718,unknown,unknown
The legal nature of jus cogens in contemporary international law,"L Alexidze, N Lapiashvili",2017,88,… While in the theory of international law the term jus cogens has appeared rath- … law serving as criteria of the validity of international treaties has existed in the doctrine of international law …,nSKfj8VSSRMJ,"L Alexidze, N Lapiashvili - Georgian Journal for European Studies, 2017 - gjes.tsu.ge",[],http://gjes.tsu.ge/index.php/gjes/article/view/58,unknown,unknown
