title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The archaeology of the Holy Land: from the destruction of Solomon's Temple to the Muslim conquest,J Magness,2012,172,… This book provides an introduction to the archaeology and history of … of Solomon’s temple in 586 BCE to the Muslim conquest in 640 CE Special attention is paid to the archaeology of …,PdGA76HVp54J,J Magness - 2012 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=qZjih7ngVokC&oi=fnd&pg=PR9&dq=Solomon+Temple+archaeology&ots=ru2DcxM6PU&sig=WIiOYXSxqmTk1dJqKDBJtYHXYXc,unknown,unknown
The temple of Solomon in Iron Age context,"Y Garfinkel, M Mumcuoglu",2019,28,… through Solomon’s Temple based on our analysis of the text and relevant archaeological data. … Reconstruction of the façade of Solomon’s Temple based on our analysis of the text and …,dmB09PoBUysJ,"Y Garfinkel, M Mumcuoglu - Religions, 2019 - mdpi.com",[],https://www.mdpi.com/2077-1444/10/3/198,unknown,unknown
Megiddo and Solomon: A biblical investigation in relation to archaeology,HM Niemann,2000,55,"… 3:4-15 describes Solomon's sacrifices and the … temple (and therefore Solomon went to the nearest prominent holy place, in Benjamin), might raise the impression of historicity.4 Solomon …",PGMkEn8jSZQJ,"HM Niemann - Tel Aviv, 2000 - Taylor & Francis",[],https://www.tandfonline.com/doi/pdf/10.1179/tav.2000.2000.1.61,unknown,unknown
Solomon and the Building of the Temple.”,A Crane,2012,3,"… the Temple, or for the similarities between Solomon's Temple … Archaeology and the Old Testament, 281. For detailed examinations of Solomon's Temple in comparison to other temples …",xJ6xRWcp5MwJ,"A Crane - Text and Task: Scripture and Mission, 2012 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=rUb7DwAAQBAJ&oi=fnd&pg=PA33&dq=Solomon+Temple+archaeology&ots=dCMwjxWzWT&sig=SWAXdx9umk3oN8W002u-Uj3jTIM,unknown,unknown
The Moza Temple and Salomon's Temple,D Shapira,2018,11,"… temple in Jerusalem and in this article, I will claim that this temple is the only parallel that we have to Solomon’s temple, … biblical archaeologists is to find parallels for Solomon’s Temple, …",lBlSUUhOeuAJ,"D Shapira - Bibliotheca Orientalis, 2018 - poj.peeters-leuven.be",[],https://poj.peeters-leuven.be/content.php?id=3285283&url=article,unknown,unknown
The Temple of Solomon in Iron Age Context,M Mumcuoglu,2019,2,"… , confirm architectural elements consistent with the biblical description of Solomon's Temple. … of Solomon’s Temple based on our analysis of the text and relevant archaeological data. …",Ab2jDi2YVOUJ,"M Mumcuoglu - Religions, 2019 - academia.edu",[],https://www.academia.edu/download/87551571/pdf.pdf,unknown,unknown
