title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The history of Freemasonry: An overview,"JAM Snoek, H Bogdan",2014,12,"… History in Scotland and England The number of theories about the origins of Freemasonry … ’Freemasonry. This theory would be regarded as fact for about a century, but we know now …",u1_Vxuc_6RgJ,"JAM Snoek, H Bogdan - Handbook of Freemasonry, 2014 - brill.com",[],https://brill.com/downloadpdf/display/title/15580.pdf#page=33,unknown,unknown
"A History of British Freemasonry, 1425-2000",A Prescott,2008,22,… is this wonderful shibboleth that Freemasonry never changes. … in Freemasonry is this one: that nothing has ever changed. … in which our understanding of history is profoundly shaped by …,yYl2Zn1SwbkJ,A Prescott - 2008 - newjerseygrandlodge.org,[],https://newjerseygrandlodge.org/wp-content/uploads/2018/11/A-History-of-British-Freemasonry-1425-2000.pdf,unknown,unknown
"Philanthropy, History and Freemasons",Y Aydın,2023,0,"… of the United State’s history as illustrated by … Freemasonry fraternity, which raised questions about the course of politics in the country. Besides these discussed the role of Freemasons …",83YiIi1m9TkJ,"Y Aydın - Kuram ve Uygulamada Sosyal Bilimler Dergisi, 2023 - dergipark.org.tr",[],https://dergipark.org.tr/en/pub/kusob/article/1280024,unknown,unknown
"In Search of Atlantic Sociability: Freemasons, Empires, and Atlantic History",JC Jansen,2015,23,"… Despite this global dimension, the academic and non-academic study of freemasonry has been largely encased in national (or subnational) frameworks. In return, scholars in …",7Y58LV9jzMYJ,"JC Jansen - Bulletin of the German Historical Institute, 2015 - academia.edu",[],https://www.academia.edu/download/43787311/JANSEN_2015_Atlantic_Sociability.pdf,unknown,unknown
"The 'school of true, useful and universal science'? Freemasonry, natural philosophy and scientific culture in eighteenth-century England","P Elliott, S Daniels",2006,39,"Freemasonry was the most widespread form of secular association in eighteenth-century … , were Freemasons, while historians such as Margaret Jacob have argued that Freemasonry …",gZzkjVgCNokJ,"P Elliott, S Daniels - The british Journal for the history of Science, 2006 - cambridge.org",[],https://www.cambridge.org/core/journals/british-journal-for-the-history-of-science/article/school-of-true-useful-and-universal-science-freemasonry-natural-philosophy-and-scientific-culture-in-eighteenthcentury-england/32633B9CEBA0591E02A8DCDD92239F33,unknown,unknown
"Freemasonry: Rituals, symbols & history of the secret society",M Stavish,2007,29,… of Freemasonry in relationship to the history of Western esotericism. The historic mirror of Freemasonry … that have shaped the teachings and values of Freemasonry. This is not a typical …,zHFSR-AP6HAJ,M Stavish - 2007 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=QZQK6as71lsC&oi=fnd&pg=PP1&dq=Freemasons+history+academic&ots=JA_yAx9GGb&sig=W5xdtSwxSKNn2jKM7QniatEl3Yc,unknown,unknown
"Builders of Empire: Freemasons and British Imperialism, 1717-1927",JL Harland-Jacobs,2012,258,"… , imperial, and transnational history significantly enhances our view of Freemasonry. … Examining the history of Freemasonry, I argue, presents an excellent way to evaluate the …",Ac9e8Z11QL8J,JL Harland-Jacobs - 2012 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=P2bQ5KrN3cUC&oi=fnd&pg=PR7&dq=Freemasons+history+academic&ots=DP6ina_zS5&sig=j_6e0R71L0mLv84KtInIOahJfKM,unknown,unknown
"From freemasons to the employee: Organization, history and subjectivity",T Newton,2004,48,"… German freemasonry … freemasonry in Germany (personal communication, 2001) even though, as we shall see, Brewer and others suggest it was highly significant to English freemasonry…",vprz0cPZnkEJ,"T Newton - Organization Studies, 2004 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0170840604046347,unknown,unknown
