title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Data flows and water woes: The Utah data center,M Hogan,2015,334,"… ’s Utah Data Center, I demonstrate how surveillance and privacy can never be disconnected from the material infrastructures … the NSA’s infrastructure and the million of gallons of water it …",w4a8YHFKclsJ,"M Hogan - Big Data & Society, 2015 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/2053951715592429,unknown,unknown
Regional cyberinfrastructure facilities,"T Hauser, PJ Burns, TE Cheatham, HJ Siegel…",2016,0,… needs of the University of Utah Hospital and Clinic infrastructure. The University maintains … The University of Utah campus connects to the new off-campus Downtown Data Center and …,zpO3lPp3eicJ,"T Hauser, PJ Burns, TE Cheatham, HJ Siegel… - 2016 - mountainscholar.org",[],https://mountainscholar.org/bitstreams/8c1914ea-f8f1-4b1b-ae22-d1fd2a2cf36a/download,unknown,unknown
Cloud computing and the NSA: The carbon footprint of the secret servers,JN Story,2014,3,… Idle-energy waste is compounded by losses in the power delivery and cooling infrastructure… NSA's facilities are nearly three times as big as Apple's facility. The NSA's Utah data center …,Ueg2GloCcq4J,"JN Story - Pitt. J. Envtl. Pub. Health L., 2014 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/pjephl9&section=5,unknown,unknown
CC* Storage-Region: Introducing Archiving and Disaster Recovery into Utah's Regional Data Lifecycle Cyberinfrastructure,M Parashar,2024,0,"… system at the University of Utah and an integrated offsite disaster recovery and archive storage infrastructure at the Tonaquint Data Center in St. George, Utah. This regional system …",wf2COLH-E1UJ,"M Parashar - NSF Award Number 2430361. Directorate for …, 2024 - ui.adsabs.harvard.edu",[],https://ui.adsabs.harvard.edu/abs/2024nsf....2430361P/abstract,unknown,unknown
The making of critical data center studies,"D Edwards, ZGT Cooper, M Hogan",2025,80,"… server farms and warehouses that literally house the cloud, data centers make visible the physical infrastructure … Agency’s (NSA) Utah Data Center, built near Bluffdale, Utah, which has …",-bnX1AH18mgJ,"D Edwards, ZGT Cooper, M Hogan - Convergence, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/13548565231224157,unknown,unknown
"How US Data Centers Secure, Store, and Safeguard Digital Information in an Age of Rising Cyber Threats","HD Bondah, W Blocker",2025,0,… Data centers increasingly function as core “infrastructure” because they host essential services used by the public and by other critical sectors. Government guidance on information …,UMmEoZcBM0kJ,"HD Bondah, W Blocker - … , and Safeguard Digital Information in an …, 2025 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6024198,unknown,unknown
The NSA is building the country's biggest spy center (watch what you say),J Bamford,2012,194,"… With its new Utah Data Center, the NSA will at last have the … , Binney and his team designed much of the infrastructure … If it had taken that route, the NSA would have been able to limit …",fpHd1VP36aIJ,"J Bamford - Wired, March, 2012 - acamedia.info",[],http://www.acamedia.info/letters/christmas_2013/DemocracyNow/The_NSA_Is_Building_the_Country's_Biggest_Spy_Center_(Watch_What_You_Say)_%7C_Threat_Level_%7C_Wired.com.pdf,unknown,unknown
Cyber Public Private Partnership ICS/SCADA and Critical Infrastructure Protection Strategic Vision,"S Nelson, B Endicott-Popovsky",2016,0,"… Security Agency (NSA) worries that cyber attacks could shut down US critical infrastructure [8]. This … A number of companies tell us they like coming to Utah, and they like hiring in Utah, …",7nptENmlh_oJ,"S Nelson, B Endicott-Popovsky - Journal of The Colloquium for …, 2016 - cisse.info",[],https://cisse.info/journal/index.php/cisse/article/view/42,unknown,unknown
Key issues in data center security: An investigation of government audit reports,"KJ Knapp, GD Denney, ME Barner",2011,44,… centers in society. This paper provides an overview of security issues relevant to data centers… analysis of four audit reports of government data centers operating in the United States. …,YnmSWp5Nf0EJ,"KJ Knapp, GD Denney, ME Barner - Government Information Quarterly, 2011 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0740624X11000657,unknown,unknown
