title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Experimenting with collaborative {zk-SNARKs}:{Zero-Knowledge} proofs for distributed secrets,"A Ozdemir, D Boneh",2022,118,"… zk-SNARKs In this work we generalize zkSNARKs to … Instead, we show that for some zk-SNARKs, proof generation … For these zk-SNARKs it is quite efficient to generate the proof dis…",Cr1KtVhZp-gJ,"A Ozdemir, D Boneh - … USENIX Security Symposium (USENIX Security 22 …, 2022 - usenix.org",[],https://www.usenix.org/conference/usenixsecurity22/presentation/ozdemir,unknown,unknown
{zkSaaS}:{Zero-Knowledge}{SNARKs} as a Service,"S Garg, A Goel, A Jain, GV Policharla…",2023,57,"… Finally, we remark that proof generation in the zkSNARKs that we consider proceeds in two steps… It was shown that zeroknowledge proofs can be used to prove that images appearing in …",R0lGTYuf1ZkJ,"S Garg, A Goel, A Jain, GV Policharla… - 32nd USENIX Security …, 2023 - usenix.org",[],https://www.usenix.org/conference/usenixsecurity23/presentation/garg,unknown,unknown
A survey on the applications of zero-knowledge proofs,"R Lavin, X Liu, H Mohanty, L Norman…",2024,90,"… The zk-creds protocol leverages zero-knowledge proofs (specifically zk-SNARKs) to convert existing identity documents into anonymous credentials, thereby eliminating the need for …",NntYxLIUIzkJ,"R Lavin, X Liu, H Mohanty, L Norman… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2408.00243,unknown,unknown
An introduction to the use of zk-SNARKs in blockchains,AM Pinto,2020,85,"… is Zero-Knowledge Proofs, and in particular zk-SNARKs, due to their very short proofs and … This paper is an introductory presentation of this topic, what advantages zk-SNARKs bring …",cWIRBMEoP88J,"AM Pinto - Mathematical Research for Blockchain Economy: 1st …, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-37110-4_16,unknown,unknown
zk-snarks: A gentle introduction,A Nitulescu,2020,63,"… As the program of the prover does not necessarily spit out the knowledge itself (as is the case for zero-knowledge proofs), we will invoke another machine, called the knowledge …",V1qSOZaEacoJ,"A Nitulescu - Ecole Normale Superieure, 2020 - di.ens.fr",[],https://www.di.ens.fr/~nitulesc/files/Survey-SNARKs.pdf,unknown,unknown
The power I know: Zero-knowledge proofs and their transformative role in the future of cryptography,"S Eshan, A Shirish, U Lav",2025,7,"… Among zero-knowledge proof techniques, zk-SNARKs are perhaps the most commonly used, largely due to their small proof sizes and fast verification times. They allow users to prove …",eezR0QPmThcJ,"S Eshan, A Shirish, U Lav - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11127078/,unknown,unknown
Efficiency of zero-knowledge proofs: a through review and analysis,"CP Sah, M Kaur, G Singh",2024,10,… This review of research analyzes zero knowledge proofs (ZKPs) and their implementation through various interactive proof systems. This context highlights and discusses protocols …,ZIblHpTQjyoJ,"CP Sah, M Kaur, G Singh - … on public key infrastructure and its …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10729195/,unknown,unknown
"Zero-Knowledge Proofs For Privacy-Preserving Systems: A Survey Across Blockchain, Identity, And Beyond",S Gupta,2025,12,"… Particular attention is paid to such structures as zk-SNARKs, zk-STARKs, and bulletproofs, as well as their application to constructing transparent, scalable systems. Blockchain …",v1AH90JFA2oJ,"S Gupta - Engineering and Technology Journal, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Sandeep-Gupta-117/publication/394445573_Zero-Knowledge_Proofs_For_Privacy-Preserving_Systems_A_Survey_Across_Blockchain_Identity_And_Beyond/links/689b15ef592005365733a407/Zero-Knowledge-Proofs-For-Privacy-Preserving-Systems-A-Survey-Across-Blockchain-Identity-And-Beyond.pdf,unknown,unknown
Demystifying the Role of zk-SNARKs in Zcash,"A Banerjee, M Clear, H Tewari",2020,56,"… STEPS TO CREATE A ZK-SNARK PROOF In a zero-knowledge proof, we can think of some program P which takes as input a public input value γ and witness α, and outputs either 0 or …",zd2ks8nld6IJ,"A Banerjee, M Clear, H Tewari - 2020 IEEE conference on …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9315064/,unknown,unknown
