title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Uncovering the City of London Corporation: Territory and temporalities in the new state capitalism,M Eagleton-Pierce,2023,19,"… The City of London (commonly referred to as ‘the City’ or by its moniker, ‘the Square Mile’) … district in London. Understanding the institutional governance of this global financial hub has …",lX6lUKxYQ9YJ,"M Eagleton-Pierce - … and planning A: economy and space, 2023 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0308518X221083986,unknown,unknown
The City of London as an industrial cluster since 1980,"M Billings, S Mollan",2022,1,… They argued that the City’s ‘continued success as an international financial center remains … ’ and that ‘For London to occupy a position as a major financial center in the twentieth century …,ma5eoeO1QzYJ,"M Billings, S Mollan - Industrial Clusters, 2022 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003036357-8&type=chapterpdf,unknown,unknown
remaking the Financial Infrastructure of the city of London,M Eagleton-Pierce,2025,0,"… However, this lacuna undermines our understanding of the City as a financial centre in two major ways. First, from a practical commercial perspective, political rule-making is inevitably …",hBzMM4txS4wJ,"M Eagleton-Pierce - The Cambridge Global Handbook of Financial …, 2025 - d-nb.info",[],https://d-nb.info/1379650550/34#page=144,unknown,unknown
