title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
GROSVENOR PROPERTY UK,K Scanlon,2023,0,"… The new social impact and community strategy introduced by Grosvenor's UK property … be measured, and looks at how property companies and governments are using indicators …",gfIjwwBytl8J,K Scanlon - 2023 - lse.ac.uk,[],https://www.lse.ac.uk/geography-and-environment/research/lse-london/documents/Reports/LSE-London-Research-Report-2023-FINAL.pdf,unknown,unknown
"The Grosvenors in Shrewsbury, 1837-43: 19th Century Kinship and Adolescence via Microhistory's Evidential Paradigm",KC Lydon,2024,0,"… book entries for the Grosvenor children sources closely, … any money Brigham owed him. “By boarding niece Harriet H. … of any Massachusetts land records for Charles Grosvenor at any …",SlCCbxwshkkJ,KC Lydon - 2024 - search.proquest.com,[],https://search.proquest.com/openview/07fe6513acbc386ccf990c61318f1044/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
"Accumulation by dispossession: Land grabs, enclosure and trespass",C Webster,2023,4,"… wealth to the patronage of William the Conqueror, including amongst others the Grosvenor family, … The origins of their wealth rest on a land grab through force of arms whereby 4,000 …",sgxgyEjtA9sJ,"C Webster - Rich crime, poor crime: Inequality and the rule of law, 2023 - emerald.com",[],https://www.emerald.com/insight/content/doi/10.1108/978-1-83909-822-220230003/full/html,unknown,unknown
