title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
An area-time efficient hardware architecture for ML-KEM post-quantum cryptography standard,"TH Nguyen, TK Dang, DT Dam, KD Nguyen…",2025,11,"… post-quantum cryptographic (PQC) algorithm, Module Lattice-based Key Encapsulation Mechanism (ML-KEM), into quantum-resistant devices and cryptosystems… FPGA-based ML-KEM …",DqS8SKd-bZcJ,"TH Nguyen, TK Dang, DT Dam, KD Nguyen… - IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11034983/,unknown,unknown
Faster post-quantum TLS 1.3 based on ML-KEM: Implementation and assessment,"J Zheng, H Zhu, Y Dong, Z Song, Z Zhang…",2024,19,… encryption (PKE) of ML-KEM. We then evaluate the performance of IND-1-CCA KEMs and integrate the better one into TLS 1.3. The benchmark results indicate that IND-1-CCA KEMs …,KYp7z_EjCQIJ,"J Zheng, H Zhu, Y Dong, Z Song, Z Zhang… - … on Research in …, 2024 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-70890-9_7,unknown,unknown
Post-quantum key exchange and subscriber identity encryption in 5G using ML-KEM (Kyber),"Q Khan, SY Chang",2025,7,"… and X22519) with the post-quantum cipher (CRYSTALS-Kyber-512) … security levels and fix the computing platform on which we … to post-quantum, our results show that the post-quantum …",UTfUiDzT5ycJ,"Q Khan, SY Chang - Information, 2025 - mdpi.com",[],https://www.mdpi.com/2078-2489/16/7/617,unknown,unknown
Lightweight FPGA-Based Number-Theoretic Transform for ML-KEM in Post-Quantum Cryptography,"MO Alshomrany, M Al-Hashimi, F Alsolami…",2025,0,"… ABSTRACT This study introduces a lightweight, energy-efficient Number Theoretic Transform (NTT) implementation tailored for the ML-KEM scheme in post-quantum cryptography. …",QhNCA26IE4cJ,"MO Alshomrany, M Al-Hashimi, F Alsolami… - IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11271524/,unknown,unknown
Accelerating Post-Quantum Cryptography: A High-Efficiency NTT for ML-KEM on RISC-V,"DT Dam, KD Nguyen, DH Le, CK Pham",2025,0,… cryptographic algorithms that are secure against quantum attacks. This field is known as post-quantum cryptography … ML-KEM’s security is based on the complexity of the Shortest Vector …,ZnHM78WNNhMJ,"DT Dam, KD Nguyen, DH Le, CK Pham - Electronics, 2025 - mdpi.com",[],https://www.mdpi.com/2079-9292/15/1/100,unknown,unknown
"A hybrid encryption framework combining classical, post-quantum, and qkd methods","A Raj, V Balachandran",2025,3,"… encryption framework to secure communication between two nodes, integrating classical cryptographic techniques with post-quantum cryptography … post-quantum ML-KEM with ML-KEM…",kTchydrKfHYJ,"A Raj, V Balachandran - … Conference on Applied Cryptography and …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-01823-6_14,unknown,unknown
Post-quantum cryptography and quantum-safe security: A comprehensive survey,"G Chhetri, S Somvanshi, P Hebli, S Brotee…",2025,10,"… Post-quantum cryptography (PQC) is moving from evaluation to deployment as NIST finalizes standards for ML-KEM, ML-DSA, and SLH-DSA. This survey maps the space from …",PXfEVXSeVo0J,"G Chhetri, S Somvanshi, P Hebli, S Brotee… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.10436,unknown,unknown
Resilience of Post-Quantum Cryptography in Lightweight IoT Protocols: A Systematic Review,"M Almutairi, FT Sheldon",2025,11,"… Standardization status under FIPS 203, Kyber is selected as the default federal choice for data encryption. Vendors must label compliant implementations with “ML-KEM” and follow the …",POls_0jhlw4J,"M Almutairi, FT Sheldon - Eng, 2025 - mdpi.com",[],https://www.mdpi.com/2673-4117/6/12/346,unknown,unknown
Adaptive ML-KEM: A Configurable HW-SW Architecture for Post-Quantum Cryptography,"W Wang, C Liu, Z Sun, L Ju…",2025,0,"… To address the computational and configurability challenges of ML-KEM hardware acceleration, we propose a fully integrated architecture that combines a run-time configurable HW/…",DSDHSZnNWaYJ,"W Wang, C Liu, Z Sun, L Ju… - 2025 IEEE 43rd …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11311101/,unknown,unknown
