title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Facebook discourse analysis of US president Donald Trump,T Tasente,2020,19,"… (political party, government, parliament, presidency… that the image of the politicians is more visible than the image of the party, and the personalized aspects of the strategy of the political …",TU_tIu0KfbMJ,"T Tasente - Technium Soc. Sci. J., 2020 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/techssj5&section=4,unknown,unknown
Immature leadership: Donald Trump and the American presidency,DW Drezner,2020,102,"… Most disturbingly, his temper has clearly distorted the selection of information with which his staff provide him, on anything from political analysis to national security. For example, his …",xtlNlrbF2FsJ,"DW Drezner - International Affairs, 2020 - academic.oup.com",[],https://academic.oup.com/ia/article-abstract/96/2/383/5722298,unknown,unknown
The effects of Donald Trump,TS James,2021,40,"… understanding the political change that leaders … that can help us to discuss political leaders’ causal effects in more concrete situations, such as an analysis of Donald Trump’s presidency…",0g2cjT6I8wAJ,"TS James - Policy Studies, 2021 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/01442872.2021.1980114,unknown,unknown
